ID;BUILDING TYPE;DEM (m);DSM (s);BUILDING HEIGHT (m);FOOTPRINT AREA (m2);FLOOR AREA (m2);;Floor height (m);3.6;m
64741.00;yes;2.51;9.98;7.46;211.76;439.10;;;;
64742.00;yes;2.56;9.11;6.54;161.03;292.58;;;;
64743.00;yes;2.17;8.82;6.66;213.04;393.97;;;;
64744.00;yes;1.32;9.00;7.68;882.63;1881.82;;;;
64745.00;yes;2.58;10.27;7.69;158.36;338.36;;;;
64746.00;yes;4.09;11.84;7.75;202.25;435.41;;;;
64747.00;house;3.84;12.00;8.16;223.64;506.69;;;;
64748.00;yes;3.02;11.00;7.98;234.72;520.07;;;;
64749.00;yes;1.92;8.91;6.99;340.74;661.57;;;;
64750.00;yes;2.83;10.73;7.90;215.61;473.21;;;;
64751.00;yes;3.18;12.66;9.48;396.24;1043.62;;;;
64752.00;yes;5.13;12.00;6.87;192.11;366.79;;;;
64753.00;yes;4.11;13.92;9.81;281.83;768.24;;;;
64754.00;yes;3.95;16.69;12.74;729.74;2583.01;;;;
64755.00;yes;2.63;12.75;10.12;461.22;1296.28;;;;
64756.00;yes;2.95;9.95;7.00;333.17;647.66;;;;
64757.00;yes;4.09;13.87;9.78;264.77;719.26;;;;
64758.00;yes;3.03;8.24;5.20;237.77;343.58;;;;
64759.00;yes;4.15;11.00;6.85;230.84;439.17;;;;
64760.00;yes;4.06;14.00;9.94;216.40;597.71;;;;
64761.00;yes;1.72;8.85;7.13;208.09;412.17;;;;
64762.00;yes;2.65;9.98;7.34;161.23;328.55;;;;
64763.00;yes;1.07;11.10;10.02;325.17;905.47;;;;
64764.00;yes;2.52;11.00;8.48;410.18;966.72;;;;
64765.00;yes;4.03;10.87;6.85;251.72;478.64;;;;
64766.00;yes;3.57;9.32;5.75;293.69;469.37;;;;
64767.00;yes;2.53;11.76;9.24;681.78;1749.50;;;;
64768.00;yes;1.50;8.18;6.67;334.34;619.68;;;;
64769.00;yes;1.65;11.97;10.32;1134.62;3253.71;;;;
64770.00;yes;4.39;16.00;11.61;211.14;680.70;;;;
64771.00;yes;3.05;10.00;6.95;230.37;444.50;;;;
64772.00;yes;2.44;11.71;9.27;160.54;413.47;;;;
64773.00;yes;3.23;10.91;7.68;280.99;599.63;;;;
64774.00;yes;4.02;10.69;6.67;278.21;515.23;;;;
64775.00;yes;0.99;9.47;8.48;1114.62;2624.41;;;;
64776.00;yes;4.27;10.20;5.93;226.72;373.22;;;;
64777.00;yes;0.47;9.56;9.09;248.66;627.92;;;;
64778.00;yes;2.83;10.80;7.98;184.54;408.85;;;;
64779.00;yes;2.44;11.64;9.20;336.15;859.11;;;;
64780.00;yes;1.30;11.00;9.70;960.46;2588.65;;;;
64781.00;yes;1.91;8.35;6.44;319.54;571.19;;;;
64782.00;yes;3.83;11.35;7.52;288.93;603.22;;;;
64783.00;yes;2.33;9.68;7.35;183.61;375.10;;;;
64784.00;yes;3.32;9.15;5.84;129.86;210.54;;;;
64785.00;yes;2.42;11.24;8.81;315.20;771.69;;;;
64786.00;yes;2.09;15.96;13.87;461.82;1779.56;;;;
64787.00;yes;4.32;8.97;4.65;154.69;199.76;;;;
64788.00;yes;2.53;10.78;8.26;283.56;650.28;;;;
64789.00;yes;3.20;10.86;7.67;223.40;475.75;;;;
64790.00;yes;1.91;8.15;6.23;263.43;456.16;;;;
64791.00;yes;2.97;11.99;9.02;908.33;2276.69;;;;
64792.00;yes;2.54;9.20;6.66;341.53;631.50;;;;
64793.00;yes;2.41;10.00;7.59;328.21;692.34;;;;
64794.00;yes;1.15;9.12;7.97;582.13;1288.88;;;;
64795.00;yes;2.53;11.99;9.46;402.06;1056.42;;;;
64796.00;yes;2.82;10.14;7.32;229.34;466.48;;;;
64797.00;yes;2.95;13.00;10.05;704.00;1965.43;;;;
64798.00;yes;2.53;12.80;10.27;549.47;1567.10;;;;
64799.00;yes;1.92;16.67;14.74;3613.28;14796.69;;;;
