ID;NEAR_DIST
1;56448.41338
2;40775.11649
3;49022.72922
4;46196.90696
5;36860.2811
6;37041.28238
7;39190.59465
8;29140.50891
9;63205.34469
10;63437.29307
11;38540.78217
12;46979.81834
13;46175.15108
14;38462.44029
15;38712.39291
16;55701.84005
17;39378.9652
18;46230.30581
19;36995.40657
20;38516.21755
21;38698.79513
22;58536.94744
23;53732.33831
24;40647.16978
25;54148.16381
26;58206.9373
27;58457.00618
28;58953.50333
29;58401.13941
30;57298.2153
31;35822.59192
32;44275.81639
33;35848.14919
34;53783.27809
35;35813.78168
36;56373.88904
37;58966.00375
38;55818.67945
39;39554.44693
40;39807.26691
41;39771.08384
42;52800.5028
43;44564.71208
44;44336.75535
45;44270.80838
46;44018.78249
47;44090.62383
48;44164.09992
49;44314.63869
50;44489.99622
51;44641.58834
52;44812.14825
53;39691.62644
54;39548.72486
55;44384.10035
56;44527.58977
57;39136.86772
58;43952.21178
59;44779.61661
60;44474.46685
61;52952.24373
62;52941.66364
63;44474.49736
64;44576.35462
65;44346.76832
66;44429.36626
67;44439.28351
68;44538.88792
69;44576.98381
70;44387.93306
71;44505.07209
72;44342.49688
73;44445.47994
74;44699.73481
75;44502.89374
76;44332.90768
77;47400.95821
78;47326.10221
79;39262.49748
80;44366.81962
81;44391.16663
82;44369.14203
83;44361.55661
84;47475.32208
85;46869.39078
86;44349.80197
87;44281.49937
88;47339.51579
89;47362.12555
90;46796.72145
91;47450.9759
92;44318.26607
93;47463.45624
94;47240.59943
95;47383.10021
96;47229.15589
97;47101.69293
98;47108.54364
99;47091.41511
100;47129.50284
101;47663.53469
102;47706.23171
103;41424.93273
104;46677.75409
105;46780.7238
106;47555.88397
107;47495.44917
108;46847.33285
109;47243.97292
110;46950.80552
111;47118.24175
112;46955.3584
113;47518.98578
114;46987.40148
115;47651.33653
116;46675.19611
117;46455.15326
118;46749.53876
119;44509.54381
120;47412.14332
121;46082.945
122;46022.42438
123;46453.37481
124;46032.9135
125;46580.76401
126;46140.958
127;46209.67044
128;46458.79882
129;46083.6432
130;46131.53762
131;46708.82058
132;47520.27499
133;47035.59993
134;47042.58083
135;46411.98177
136;46802.7966
137;44506.18124
138;39504.41853
139;46778.49312
140;47206.73519
141;47164.91679
142;47108.28504
143;47007.92135
144;47258.75211
145;47173.87138
146;46810.59465
147;47194.59532
148;45001.05555
149;45069.45445
150;45123.23267
151;45283.29317
152;46812.75408
153;45685.2907
154;45336.67097
155;46974.10165
156;45524.37816
157;45735.13466
158;45693.29119
159;45711.45449
160;45019.63633
161;45612.42114
162;45502.39886
163;47513.7314
164;46250.79363
165;46894.79738
166;47206.06492
167;46211.20121
168;45706.65166
169;45638.62069
170;45657.09193
171;45545.59795
172;47204.46532
173;47284.37387
174;47149.17125
175;45752.79329
176;42719.05085
177;43243.61791
178;46692.70251
179;47182.32547
180;46719.35688
181;46848.15995
182;46093.36263
183;42548.94549
184;47405.51138
185;46907.7944
186;45641.10539
187;46843.22981
188;46240.0315
189;45915.51517
190;44790.35979
191;44770.73826
192;44903.04833
193;42403.68975
194;43531.90442
195;45501.51981
196;44782.1602
197;45118.10995
198;45626.0251
199;45472.519
200;45489.39544
201;47581.0011
202;46160.18318
203;43618.06518
204;43647.89573
205;44036.80064
206;47095.25766
207;47241.64781
208;46385.48784
209;46241.29858
210;46268.19382
211;45948.39474
212;46234.6811
213;45928.2783
214;45989.92272
215;46078.69149
216;46039.39658
217;45886.95907
218;46169.78569
219;45855.25074
220;46213.79255
221;46310.35022
222;46263.97581
223;46360.98938
224;45921.98556
225;45875.94412
226;46018.5793
227;46180.95702
228;46247.07788
229;45854.02592
230;46540.5148
231;45837.78901
232;46538.22514
233;46408.84281
234;56342.86359
235;45481.54042
236;45446.88404
237;46573.38782
238;46270.00448
239;46862.95296
240;45822.36607
241;39401.77634
242;56067.15982
243;57960.00465
244;55520.04309
245;46801.02851
246;45917.15492
247;47069.88969
248;48739.82787
249;48510.47781
250;48688.39448
251;46494.07216
252;46663.3728
253;39377.94764
254;56638.26322
255;44272.06854
256;28703.02682
257;47270.76532
258;47168.38178
259;35854.55544
260;43231.23954
261;39354.75331
262;46663.47587
263;39394.4719
264;39001.59876
265;39007.70918
266;39008.06136
267;38479.22805
268;39523.29829
269;56002.61818
270;56157.81335
271;46565.13895
272;56175.93406
273;56097.00315
274;50938.01548
275;67201.28555
276;48102.32684
277;47919.15804
278;46715.24376
279;39422.43902
280;38797.89871
281;39687.40771
282;37876.44613
283;39120.9509
284;56102.28234
285;47817.68858
286;47787.87357
287;47915.93459
288;47882.82759
289;48030.69478
290;47914.05009
291;48246.14394
292;48199.2995
293;48505.5381
294;48675.38925
295;48658.05943
296;37232.59763
297;38539.33417
298;47002.10519
299;36886.20043
300;36501.15681
301;36492.56685
302;36668.91116
303;36672.77324
304;36958.2991
305;36863.38483
306;37138.0972
307;37058.23511
308;36795.53916
309;36926.20284
310;36478.05753
311;36526.28075
312;36404.22365
313;36860.62609
314;39554.05871
315;48425.96155
316;36428.98546
317;36840.05925
318;51870.48812
319;51858.41764
320;50058.85862
321;50042.12865
322;37008.50567
323;36527.40146
324;36514.00457
325;36731.57514
326;36719.90995
327;36633.83371
328;36789.14429
329;36985.00258
330;51910.00084
331;51886.01929
332;51886.4694
333;52395.57855
334;52234.29872
335;52284.32553
336;52304.07515
337;41006.36188
338;39707.31644
339;39830.76402
340;39594.01917
341;39697.18962
342;39749.94403
343;39622.53044
344;40031.45333
345;39888.62644
346;39723.70395
347;39640.12028
348;39572.4204
349;39956.25729
350;39673.21334
351;38650.99207
352;38415.57596
353;38668.91236
354;38849.90267
355;38495.29209
356;38625.74401
357;38484.63044
358;38476.2983
359;38406.82971
360;36877.87866
361;36950.99892
362;36984.17347
363;37003.69538
364;36912.97197
365;37039.81548
366;37001.88086
367;37159.75032
368;37268.3645
369;37113.34364
370;37448.13908
371;37324.8915
372;37283.21078
373;38543.04474
374;38516.32894
375;36883.3833
376;38264.77098
377;38048.86425
378;37338.65054
379;38188.50013
380;38187.30503
381;37085.78953
382;38274.75099
383;38409.54804
384;38422.3706
385;38425.37107
386;36956.91143
387;38677.13112
388;38735.32694
389;38182.35027
390;38594.14995
391;38877.05937
392;37192.20253
393;37122.23845
394;37151.41928
395;38528.20294
396;38098.40825
397;38394.93511
398;39271.88436
399;39254.08384
400;39141.03949
401;38955.62513
402;37409.27852
403;70500.21045
404;70498.36124
405;36908.12283
406;38220.51283
407;38554.69178
408;38457.63783
409;38998.09548
410;38190.89762
411;54825.77698
412;54914.19146
413;40266.90133
414;52023.8087
415;30571.75709
416;45250.08327
417;79113.57717
418;27884.89336
419;27876.76574
420;68066.83719
421;38403.73384
422;51995.57995
423;30518.14431
424;56112.43597
425;54952.59261
426;45308.47328
427;39273.21935
428;51270.26891
429;43116.64081
430;39064.99531
431;54849.30667
432;56082.45389
433;55984.52936
434;39813.53731
435;51241.24847
436;31121.23689
437;55904.88479
438;56383.69051
439;56184.75088
440;56091.25535
441;56273.98114
442;52475.68561
443;52653.50428
444;55978.10132
445;56049.53778
446;44760.68244
447;44720.5378
448;44484.16806
449;44341.90559
450;44486.02034
451;55915.76892
452;50187.52247
453;50050.94309
454;55904.4422
455;55910.11919
456;55845.7721
457;44347.35694
458;45150.8536
459;44349.36715
460;57314.49454
461;57218.76356
462;44439.43989
463;45330.8261
464;45436.30967
465;45416.9566
466;45098.18146
467;45170.63127
468;45063.89933
469;45238.17876
470;45176.89665
471;50158.52189
472;44388.36458
473;44580.36039
474;44687.48533
475;44897.39984
476;44911.66437
477;45032.52929
478;45110.23401
479;44999.34601
480;45353.66552
481;45296.05434
482;57461.36157
483;57303.06808
484;57200.89464
485;57296.01515
486;57073.69992
487;57097.41797
488;57036.8263
489;57212.93614
490;57158.44105
491;67627.45305
492;55892.40193
493;55115.52567
494;55194.70522
495;55391.27459
496;55506.45508
497;55376.71363
498;55469.2439
499;55611.36011
500;54922.8715
501;55120.78274
502;54845.21378
503;49929.52242
504;49945.29097
505;49974.71693
506;49910.25949
507;49805.21464
508;67208.61072
509;67516.7827
510;49780.87535
511;49829.26149
512;45053.20832
513;45169.98502
514;67360.55719
515;67223.48782
516;49612.50127
517;49678.50033
518;49536.33216
519;49761.44392
520;49680.28518
521;50270.4355
522;45885.81405
523;45803.72059
524;45483.88277
525;45385.39752
526;45411.29706
527;45569.94539
528;45666.70207
529;45821.40208
530;45822.39421
531;45677.14189
532;45665.14336
533;45707.55967
534;45599.86633
535;45563.6834
536;45748.86309
537;45695.93105
538;45725.01018
539;44841.35913
540;55065.2068
541;55043.71019
542;55809.5508
543;55721.3091
544;56104.6533
545;56071.14805
546;56154.69029
547;45861.24795
548;46017.09202
549;45928.42402
550;45836.4355
551;45771.30858
552;56778.56529
553;45002.78256
554;56213.02796
555;56112.254
556;56143.25259
557;56049.4439
558;55977.05779
559;55998.06386
560;55933.94885
561;55851.63019
562;57477.54153
563;57394.5692
564;57475.79147
565;44746.73771
566;44959.91169
567;57400.92985
568;44972.13865
569;57610.46832
570;44754.44638
571;44928.92031
572;57330.266
573;57255.45428
574;67116.52496
575;67082.65843
576;57275.64402
577;45523.89481
578;45974.192
579;45913.79161
580;56479.55288
581;57054.53877
582;57104.22159
583;66921.51062
584;55894.01966
585;54549.59764
586;54743.07531
587;54677.23788
588;54721.33587
589;55657.80141
590;55426.03947
591;54512.15005
592;57296.52586
593;54510.19867
594;54580.40256
595;54757.75412
596;54706.33631
597;54602.19819
598;54447.66816
599;55424.21094
600;66237.57702
601;54698.41721
602;54762.86142
603;54818.24768
604;54742.0092
605;55792.3761
606;31059.14236
607;31184.45334
608;57046.40076
609;45084.77858
610;45167.51272
611;44827.97738
612;44792.35451
613;56854.55688
614;45384.76906
615;62545.83057
616;62682.16545
617;66538.82175
618;66708.55721
619;66377.33715
620;66444.38374
621;57753.3107
622;62968.77529
623;62844.50616
624;62801.20183
625;62724.74946
626;62699.36078
627;62665.31923
628;62548.74754
629;57628.96554
630;55666.45605
631;55652.22266
632;55817.77554
633;55759.75465
634;57770.13237
635;57819.999
636;57674.32812
637;57913.9488
638;58059.2967
639;57977.55784
640;58126.18194
641;58062.09354
642;57973.82125
643;44724.89027
644;57786.41716
645;57642.27727
646;57693.13682
647;57648.74892
648;57685.88247
649;57690.58247
650;57563.89348
651;45252.3144
652;54633.66024
653;62565.9733
654;57312.44684
655;57256.17865
656;57359.62347
657;57224.60481
658;49329.49996
659;49295.83851
660;49417.13834
661;61287.57102
662;50012.92114
663;49871.07317
664;57443.38737
665;57572.30624
666;57342.70717
667;57344.71643
668;57466.83613
669;57305.18774
670;57342.42611
671;49739.33741
672;49888.18109
673;57595.78822
674;57800.25734
675;58036.53601
676;57451.88651
677;61173.29904
678;57406.70613
679;61223.88932
680;62523.44059
681;61123.7163
682;57456.68168
683;49174.19724
684;57891.35038
685;57854.19333
686;57969.74341
687;57894.07848
688;57982.83551
689;49146.00383
690;48937.31293
691;60846.33543
692;61075.15219
693;60942.1707
694;36455.19828
695;56316.91087
696;57926.22326
697;48955.69105
698;48914.75596
699;48823.08904
700;49092.12236
701;49090.80261
702;49010.78998
703;48925.22324
704;57038.44488
705;48797.21152
706;48951.54807
707;57856.21947
708;57708.45212
709;57668.24389
710;57812.49822
711;57885.20737
712;49992.75026
713;50239.09643
714;50065.83066
715;49992.85774
716;57068.64603
717;57203.83184
718;57110.78741
719;48915.92353
720;44416.76915
721;57264.47722
722;57247.65184
723;49310.06609
724;56944.01166
725;61203.95454
726;57461.84597
727;48891.47993
728;48831.18145
729;48784.67296
730;49035.78312
731;50260.53472
732;50437.07351
733;50432.28695
734;50505.78835
735;50138.25858
736;50322.72059
737;50173.13572
738;48970.7132
739;48844.25097
740;50526.02238
741;50653.30802
742;50943.54702
743;50752.50826
744;50839.2977
745;50654.54199
746;50820.88286
747;50766.2142
748;50938.08711
749;57540.20726
750;50222.06673
751;46300.74932
752;46473.4717
753;46653.87956
754;46274.34038
755;57887.35304
756;57846.29112
757;57610.04586
758;57758.8182
759;61206.37173
760;57736.95011
761;57632.70994
762;57063.85156
763;56955.96536
764;46529.86885
765;46248.74444
766;49985.3519
767;57135.90781
768;57816.23897
769;50189.1469
770;46310.56739
771;57048.36036
772;56858.65444
773;56584.12466
774;57705.24513
775;57861.95352
776;57166.45765
777;57449.26811
778;49482.17299
779;49491.21348
780;51091.19742
781;56881.00345
782;46404.24548
783;49693.04889
784;49667.20794
785;49750.91402
786;49344.39686
787;50065.11181
788;46354.4557
789;49796.37101
790;61777.20643
791;51252.80057
792;46302.32593
793;46245.61362
794;50104.00749
795;46166.34615
796;56437.29922
797;50256.43393
798;61925.97119
799;49407.96821
800;49446.0935
801;46419.18504
802;45452.28606
803;45540.4303
804;62156.86869
805;62234.17571
806;62148.19585
807;62255.51186
808;45788.28756
809;46278.13177
810;61997.6011
811;49850.19255
812;50145.8852
813;49468.40804
814;61934.51143
815;56783.75047
816;50894.10006
817;50101.00366
818;61926.83329
819;50050.31621
820;50029.52604
821;49753.99652
822;45053.60091
823;44996.61473
824;67678.07033
825;45511.70138
826;45381.10216
827;62010.57305
828;49556.94284
829;49589.60981
830;49327.7489
831;49957.54589
832;61969.65377
833;60969.26978
834;67378.52041
835;67142.7235
836;66670.35734
837;66797.89172
838;43807.54034
839;43772.72644
840;46607.06254
841;46670.50382
842;46688.584
843;46520.74739
844;46729.15481
845;45529.14346
846;62398.88434
847;62449.22935
848;66339.76138
849;66313.3507
850;66200.11424
851;56676.6936
852;56509.79273
853;67241.56313
854;46228.91318
855;45231.81644
856;45568.33342
857;62433.60917
858;62223.75191
859;62315.4033
860;62268.18183
861;62353.77805
862;56912.27617
863;43857.28979
864;43905.82229
865;43663.12751
866;43652.8897
867;43583.39964
868;44115.83471
869;49630.86904
870;45562.33651
871;46587.40613
872;45426.85006
873;45593.84042
874;43903.05379
875;44006.68926
876;45802.24606
877;55093.3189
878;55200.90079
879;55191.60229
880;49742.46635
881;55417.19406
882;55368.69048
883;58063.27897
884;55351.90768
885;55284.77576
886;67624.17593
887;45567.31741
888;45124.52608
889;49406.01692
890;55319.47514
891;44079.9079
892;56788.89803
893;56873.1938
894;56921.82051
895;56859.89948
896;56854.99931
897;56923.11231
898;57034.39505
899;57253.19769
900;57148.44054
901;56994.85613
902;62043.22145
903;55125.34536
904;55276.17633
905;43423.67435
906;43441.41094
907;45731.38564
908;43940.78058
909;43727.87583
910;43292.23046
911;49216.04173
912;44042.316
913;44032.96243
914;44070.96773
915;48887.66599
916;48913.02109
917;49034.03374
918;49270.60172
919;49267.35266
920;49199.83903
921;49197.73346
922;43340.34854
923;43804.36767
924;43461.29474
925;43557.13487
926;49291.00848
927;49545.18596
928;45686.70125
929;45781.69117
930;45800.56267
931;44662.05298
932;44429.3083
933;44544.27755
934;44641.88912
935;44574.99991
936;45611.42688
937;45534.82031
938;43420.21541
939;46400.26233
940;38601.5045
941;25563.957
942;45400.26012
943;45222.67418
944;44188.78835
945;44051.07188
946;42166.11938
947;55334.01956
948;55463.64574
949;56951.48563
950;46589.66567
951;44107.11403
952;49179.5725
953;49072.6498
954;45320.67145
955;49107.98002
956;49406.80472
957;43523.39809
958;45656.51013
959;46121.44849
960;45910.72864
961;45805.72493
962;45743.26033
963;45362.94236
964;45467.15121
965;45450.53688
966;44528.74974
967;44527.44739
968;56647.69511
969;45303.99754
970;45182.60632
971;45241.42945
972;45235.97208
973;45115.84891
974;45675.15081
975;45506.18863
976;45606.54339
977;45742.92604
978;45622.41074
979;45659.70485
980;45512.015
981;45125.88066
982;44999.36974
983;45004.71379
984;44712.54968
985;44726.70907
986;45825.52879
987;45741.64385
988;45822.79478
989;46287.59317
990;45845.1146
991;45702.74038
992;45754.77385
993;45547.83667
994;45380.9613
995;45394.57415
996;45709.15839
997;45051.26237
998;44114.92815
999;45042.8797
1000;45691.44327
1001;45444.21462
1002;39502.49514
1003;46267.45701
1004;46332.04874
1005;46464.46336
1006;45499.74014
1007;45424.77996
1008;39118.39465
1009;39069.45072
1010;39088.66599
1011;38706.98308
1012;39061.93291
1013;39500.71036
1014;39472.85406
1015;39630.42622
1016;39572.52211
1017;39595.00404
1018;39680.34119
1019;40278.49337
1020;45551.73281
1021;46065.26184
1022;46145.61838
1023;46210.21642
1024;39564.01004
1025;39569.21349
1026;43099.00554
1027;39169.91518
1028;39302.51519
1029;39675.09325
1030;39594.01031
1031;45446.09709
1032;45451.12943
1033;45468.40056
1034;40035.96969
1035;40008.56339
1036;40033.42113
1037;50533.10888
1038;50597.37189
1039;50626.15523
1040;41977.98675
1041;42604.43133
1042;42654.17148
1043;36630.73416
1044;42461.9079
1045;42406.48247
1046;42639.86384
1047;42643.14291
1048;42030.01309
1049;47598.53203
1050;41976.08922
1051;42139.53967
1052;42494.89143
1053;49754.77306
1054;39371.32768
1055;42120.15845
1056;46070.23996
1057;45915.50783
1058;45895.12599
1059;45779.97143
1060;45895.58418
1061;46034.44625
1062;45698.12751
1063;51283.85476
1064;45855.91046
1065;46093.33014
1066;41919.04519
1067;45898.44231
1068;46454.621
1069;45940.76654
1070;45780.86855
1071;46204.40836
1072;46272.64555
1073;46328.08738
1074;46393.41646
1075;73265.19773
1076;27995.62213
1077;27826.824
1078;27862.08493
1079;46149.94276
1080;46072.12094
1081;45974.2327
1082;28278.67189
1083;28201.63453
1084;28120.93938
1085;27672.96773
1086;27391.5662
1087;27651.59754
1088;27913.22944
1089;28215.95122
1090;27940.90549
1091;27835.2871
1092;28141.26988
1093;28084.46329
1094;28203.42492
1095;28059.30853
1096;28120.08866
1097;28038.32969
1098;27151.81764
1099;26881.95067
1100;28452.79724
1101;28539.36867
1102;28595.13023
1103;27838.37756
1104;28075.26165
1105;28083.46152
1106;28154.76654
1107;28368.91505
1108;28240.16389
